fertility rate,0.056
mortality rate old,0.029552
reference migration rate young,-4
reference migration rate mid,0.011
reference migration rate old,-0.022
agriculture to forest land allocation time,3
forest to protected change,30
forest to agriculture land allocation time,15.2
forest to housing land allocation time,600
agriculture to housing land allocation time,600
housing demolition rate,0
number of times each tourist house occupied per year,41.6
social housing scenario switch,1
productivity factor other,770
elasticity q1 other,0.22
elasticity q2 other,0.814
tourist bus frequency,0
effect of future improvements to infrastructure,1
species area curve coefficient,2.4
species area curve exponent,1.032
INIT species richness,5564.4
cultural burning scenario switch,1
disability fraction,0.1416
intergenerational risk factor,1.44
disease burden before WW,0.08
excess disease burden from lowered healthcare access,0.8824
demand per location,1
households with internet access fraction,0.77
tower investment responsiveness,0
tower build delay time,2
fixed wireless user limit,60
Forrest Common funding scenario,1
GTOC funding scenario,1
Wastewater funding scenario,1
funding scenario CFA Truck,1
average number of bus trips per year,520
bus frequency,1040
