fertility rate,0.056
mortality rate old,0.029552
reference migration rate young,-4
reference migration rate mid,0.011
reference migration rate old,-0.0176
agriculture to forest land allocation time,2
forest to protected change,20
forest to agriculture land allocation time,15.2
forest to housing land allocation time,500
agriculture to housing land allocation time,500
housing demolition rate,0
number of times each tourist house occupied per year,62.4
social housing scenario switch,0
productivity factor other,840
elasticity q1 other,0.24
elasticity q2 other,0.888
tourist bus frequency,0
effect of future improvements to infrastructure,1.5
species area curve coefficient,2.4
species area curve exponent,1.032
INIT species richness,5564.4
cultural burning scenario switch,0
disability fraction,0.2124
intergenerational risk factor,2.16
disease burden before WW,0.12
excess disease burden from lowered healthcare access,1.3236
demand per location,2
households with internet access fraction,0.924
tower investment responsiveness,1
tower build delay time,1.6
fixed wireless user limit,72
Forrest Common funding scenario,0
GTOC funding scenario,1
Wastewater funding scenario,0
funding scenario CFA Truck,1
average number of bus trips per year,156
bus frequency,52
